LocusTag	Gene	Length
new_1008553_1008622	S324	70
BSU11420	trpS	990
BSU15090	gerR	579
BSU06020	groES	282
new_2309648_2309785_c	S830	138
new_196132_196212	S68	81
BSU26990	yraD	297
BSU00150	dgk	621
BSU06430	purK	1137
BSU39290	yxxD	441
BSU02700	lip	636
BSU28890	yscB	630
BSU39840	yxbG	819
BSU29290	sndA	1248
BSU22170	ypsC	1155
new_3294170_3294254_c	S1231	85
new_2605598_2605729_c	S955	132
BSU20960	yopA	1314
BSU28440	sdhA	1758
new_3965134_3966683_c	S1482	1550
BSU33540	azoR2	633
new_3608843_3609333_c	S1340	491
new_4167624_4168153	S1562	530
new_3388009_3388287_c	S1272	279
BSU01100	rpsL	414
BSU06000	ydiK	189
BSU07440	yfmK	444
BSU37570	mmr	1398
new_756987_757065	S246	79
new_3907315_3907453_c	S1467	139
BSU25300	cdd	408
BSU06700	yerO	867
new_676139_676441	S222	303
BSU28250	leuD	597
BSU08690	ygaD	1767
new_2987548_2987649_c	S1104	102
BSU37730	bacB	705
BSU_rRNA_29	rrnH-23S	
BSU15110	ylbQ	894
BSU25740	yqeB	723
BSU18909	yozZ	138
BSU32390	yunF	852
BSU32270	yutH	1017
new_2333212_2333323_c	S840	112
BSU33200	yvrE	876
BSU33270	yvrO	687
BSU21930	cspD	198
BSU01810	adaA	633
BSU22150	ypvA	1923
new_2795736_2795840_c	S1037	105
new_1253253_1253384	S424	132
BSU08400	yfiU	1554
new_2169677_2170029_c	S770	353
BSU19410	cwlS	1242
BSU33190	yvrD	789
BSU11200	argJ	1218
BSU01000	secE	177
BSU13960	ykwC	864
BSU_tRNA_68	trnB-Gly2	
new_2586704_2586996_c	S937	293
BSU30090	yteU	666
new_2571798_2571906_c	S933	109
BSU18740	yozG	252
new_1907334_1907493	S650	160
BSU28270	leuB	1095
BSU31510	yufK	612
BSU31500	yuxK	411
BSU04470	dctP	1263
new_2491949_2492028_c	S909	80
new_3717098_3717211_c	S1387	114
new_2273724_2273988_c	SR4	265
new_2456890_2457210_c	S894	321
new_3059402_3059490_c	S1145	89
new_3222530_3223451	S1197	922
new_3918332_3918517_c	S1472	186
BSU38480	sasA	630
new_154838_155119	S59	282
new_2093013_2093780	S733	768
BSU34200	sigL	1308
new_3849617_3849712_c	S1452	96
BSU23900	yqjF	726
BSU39330	abn2	1407
new_2740238_2740411	S1007	174
BSU09940	yhaL	210
BSU32260	hom	1299
BSU08800	ygaK	1101
new_4096991_4097415	S1534	425
BSU15120	bshC	1617
BSU10780	yisN	585
BSU_tRNA_5	trnO-Ile	
BSU27960	rplU	306
BSU19750	cgeE	777
BSU16825	ymfD	1206
BSU25380	floA	993
BSU32340	lytH	1047
new_2984696_2984787_c	S1103	92
BSU31440	patB	1161
BSU21200	yomW	504
BSU30650	dps	435
new_2488970_2489605	S908	636
new_839654_839734_c	S267	81
BSU01090	rplGB	246
BSU11250	argF	957
new_863681_863837	S275	157
new_843132_844096	S269	965
new_1002410_1002500	S321	91
BSU21910	metA	672
BSU22720	cheR	768
BSU23890	yidC2	825
BSU19669	yoyF	141
BSU21030	yonP	192
BSU11480	yjbB	1215
BSU06037	ydzT/4	207
BSU12730	xkdT	1044
BSU16800	spoIIIE	2361
BSU29710	acuC	1161
BSU01690	murR	849
BSU26180	yqbA	1530
new_1325005_1325095	S456	91
BSU35970	ywsB	534
new_463070_463495_c	S135	426
BSU13400	ligD	1833
BSU21599	yoyK/2	114
BSU33160	yvrA	1326
new_469286_469367	S139	82
new_409056_409207_c	S127	152
BSU27760	csbX	1305
BSU21440	bdbB	444
BSU04230	amj	807
BSU35290	prfB	1099
BSU14300	moaE	471
BSU17810	yndK	363
new_3068812_3069252_c	S1149	441
new_3483775_3483886_c	S1302	112
new_1691049_1691202	S584	154
BSU00920	gltX	1449
BSU07590	citT	678
BSU31970	dhbB	936
BSU21520	yolC	333
BSU36220	ywqG	783
BSU27860	nadC	867
BSU15740	yloM	1341
BSU19999	yojW	165
BSU19720	yodR	651
BSU11549	yizD	165
BSU17650	yncE	459
new_3010599_3010660_c	S1117	62
BSU10180	yhfC	774
BSU21580	yokI	1713
new_3076730_3076817	S1153	88
BSU19740	yodT	1332
BSU28350	ysnB	513
BSU02650	pcp	645
BSU17180	pksJ	15135
BSU36390	flhP	804
new_737348_737602	S239	255
BSU07530	yfmB	366
BSU37110	ywjH	636
new_2071199_2071285_c	S721	87
BSU39970	yxaH	1206
BSU38130	ywcE	261
BSU02880	yceB	939
BSU05060	lrpB	447
new_2245307_2246150_c	S803	844
BSU35120	yvlB	1095
BSU25060	yqfZ	297
BSU01330	rpsE	498
BSU08520	recX	792
BSU10330	yhfQ	1044
BSU23590	ansR	348
BSU40200	yydD	1758
BSU04530	fbpB	177
BSU39710	iolF	1317
BSU30110	yteS	477
BSU23530	spoIIM	642
BSU34880	hisA	735
new_4130257_4130577_c	S1545	321
new_2948977_2949052_c	S1086	76
new_2438267_2438331_c	S888	65
BSU05000	yddK	798
new_1478837_1478985	S509	149
new_2701783_2703117	S984	1335
new_4133453_4134502	S1546	1050
BSU13910	ptsI	1710
new_2431344_2431472_c	S881	129
BSU17440	ynbB	1263
BSU28280	leuA	1554
BSU14240	rok	573
BSU02120	ybeC	1617
BSU00870	radA	1374
new_3360892_3360973_c	S1258	82
BSU33700	opuBD	678
BSU16970	ymdB	792
new_3299378_3299588	S1235	211
BSU22630	trpA	801
BSU18670	oxdD	1176
BSU12672	xkzB	147
BSU13530	kinE	2214
BSU26430	yrkP	693
BSU_misc_RNA_40	BSU_misc_RNA_40	
new_1359357_1359439_c	S463	83
BSU06310	gabP	1407
BSU04810	immA	507
BSU03280	nasF	1449
new_2116747_2116967_c	S748	221
BSU12229	yjzI	186
new_3740032_3740104_c	S1398	73
BSU04600	ydbT	1479
BSU10790	asnO	1842
BSU08370	yfiR	615
BSU01389	ybzG	222
new_247549_247743	S88	195
BSU14510	ktrC	663
new_2078627_2079084	S727	458
BSU23550	mleA	1317
BSU19710	yodQ	1308
BSU12649	ykzM	216
BSU03570	sfp/2	495
BSU13130	proA	1245
new_4159457_4159757_c	S1557	301
BSU38470	ywaD	1365
BSU05650	ydgH	2655
BSU30790	menE	1458
BSU13320	ykzB	153
BSU29860	ytoP	1071
BSU20530	yoqS	345
BSU04880	ydcS	267
BSU26340	yqaF	228
new_4035835_4035968_c	S1514	134
BSU04480	ydbI	1050
BSU09100	cspB	201
BSU28760	araM	1182
BSU18630	yoaJ	696
BSU00970	yacP	510
BSU31590	yufS	213
BSU_tRNA_39	trnD-His	
BSU17990	sspO	144
new_3009340_3009869_c	S1116	530
new_2041030_2041466	S699	437
new_158050_158514_c	S60	465
BSU19900	yotF	75
BSU27240	yrhC	228
new_2829529_2830447_c	S1048	919
BSU01680	murP	1365
BSU05350	ydfB	783
BSU00890	yacL	1098
BSU29690	acuA	630
new_3273703_3274665	S1225	963
BSU33420	nhaK	2010
BSU31780	yueH	246
BSU10840	iolQ	1011
BSU26680	yrdK	315
new_2464042_2464118_c	S897	77
BSU18550	yoaC	1461
BSU34920	hisG	639
BSU33510	copZ	207
BSU21970	ypeP	360
BSU32170	dapF	852
new_2022468_2022560_c	S688	93
BSU40000	yxnA	1068
BSU03370	yckA	678
BSU22460	bshA	1131
new_3372716_3373742	S1265	1027
BSU31460	kapB	384
BSU03840	ycnB	1416
BSU05750	fra	369
BSU36620	ywnB	639
BSU07130	lplD	1338
new_2025088_2025159_c	S689	72
BSU10410	yhzC	231
BSU34500	yvdR	318
BSU28570	yshE	402
new_4118585_4118876	S1540	292
BSU06250	ydjM	369
BSU20270	yorS	516
BSU17520	ynaD	510
BSU18090	parE	1965
new_3036310_3036529_c	S1136	220
new_2913380_2913589_c	S1078	210
new_1925528_1925637	S665	110
new_2246149_2246571	S804	423
BSU28410	gerE	222
BSU13720	queC	657
BSU28840	ysdA	267
new_1537029_1537112	S536	84
BSU38460	tyrZ	1239
BSU_tRNA_45	trnS-Asn	
BSU36940	ywlD	555
new_1461473_1462812_c	S506	1340
BSU18650	pelB	1035
BSU34750	whiA	948
BSU_misc_RNA_1	BSU_misc_RNA_1	
new_821232_822902_c	S255	1671
BSU40730	yyaS	603
BSU30250	ytaP	897
BSU31540	nupN	1050
new_2156121_2156756_c	S762	636
BSU37390	albC	717
BSU17580	xynB	1599
BSU24530	lipM	834
new_3989908_3990230	S1493	323
new_4035641_4035833_c	S1513	193
BSU24710	comGC	294
BSU22260	yppF	186
BSU39520	yxeK	1323
BSU36700	moaA	1023
BSU24820	yqgU	1059
BSU20300	yorP	213
new_1321205_1321328_c	S455	124
BSU10990	yitH	846
BSU02430	glsA	981
new_1097850_1097950_c	S361	101
new_1603592_1604734_c	S562	1143
BSU15050	ylbL	1050
BSU02500	ycbG	699
BSU00910	ispF	474
BSU21480	sunA	168
new_3213597_3213853_c	S1192	257
new_3008846_3008937	S1115	92
BSU32700	sufD	1311
BSU06420	purE	486
BSU33850	yvbG	633
new_2069746_2069982_c	S716	237
BSU03260	ycgS	852
BSU02960	yceJ	1170
new_1143506_1143576	S378	71
BSU04510	ydbL	333
new_1783391_1783658	S615	268
BSU22890	cmk	672
BSU31060	gbsA	1470
new_454593_455317	S133	725
new_3760210_3760556	S1406	347
BSU19259	yoyB	225
new_2415356_2415414_c	S878	59
new_3316130_3316211_c	S1245	82
BSU05430	ydfJ	2172
BSU30750	mntC	1305
BSU03940	ycnI	612
BSU38510	dltB	1185
BSU36930	ywlE	450
BSU20440	yorB	294
BSU17000	kbl	1176
BSU34790	trxB	948
BSU15680	gmk	612
new_1430482_1430571_c	S488	90
new_1213460_1213536	S404	77
BSU28360	ysnA	594
BSU26480	yrkK	474
BSU40150	yydI	627
BSU18710	yozF	249
new_4183947_4184016	S1569	70
BSU11880	metC	1170
BSU39560	yxeG	555
BSU_tRNA_64	trnB-Met2	
new_532604_532921	S171	318
BSU09800	yheA	351
new_3729297_3729412_c	S1393	116
new_875695_876176	S279	482
BSU03569	sfp/1	165
new_2740896_2741093	S1010	198
BSU40050	gntR	729
new_1906208_1907012	S648	805
BSU16180	flgB	387
BSU15270	sbp	363
BSU29170	ytzA	381
BSU18610	yoaH	1602
BSU09790	yheB	1131
BSU28670	ysfB	1104
BSU31410	alaR	498
BSU37920	gerQ	543
BSU40470	yycC	138
new_2714806_2714932_c	S995	127
BSU03390	yckC	453
BSU24810	yqgV	282
BSU_misc_RNA_9	BSU_misc_RNA_9	
BSU36310	ssbB	339
BSU04160	mtlR	2082
new_556002_556561	S178	560
new_1421924_1422163	S485	240
BSU24090	ptb	897
BSU07310	yfnD	933
new_1606413_1606501	S565	89
BSU27080	levR	2814
BSU40573	yyzI	237
new_1076420_1076501_c	S356	82
BSU15360	ylmC	243
BSU22290	sspM	102
BSU16310	fliM	996
BSU03510	srfAC	3822
BSU35960	rbsB	915
BSU33030	yuxN	873
BSU36668	ywzE	162
new_3640552_3640631_c	S1353	80
BSU26980	yraE	195
BSU37980	ywdF	804
BSU29430	ytzD	234
BSU25880	yqxJ	360
BSU33170	yvrB	1059
BSU22550	qcrB	672
BSU30580	ytmA	771
BSU31250	tlpA	1986
BSU28510	abf2	1485
new_827212_827324_c	S260	113
BSU24340	accC	1350
new_257573_257643_c	S91	71
BSU34420	yveF	90
BSU25870	yqcF	576
new_663028_663224	S217	197
new_1483957_1484044	S514	88
BSU17660	yncF	432
new_598065_598153	S190	89
new_3031418_3031523_c	S1125	106
BSU37040	ywkB	957
new_2033681_2033894_c	S695	214
new_2278079_2278601_c	S812	523
BSU29030	ytcD	378
new_984595_985733_c	S316	1139
BSU40359	yyzO	186
BSU23120	resD	720
BSU38000	ywdD	489
BSU31370	yugJ	1161
new_2021232_2021971	S687	740
BSU17370	nrdI	390
new_2555662_2555886_c	S925	225
new_1915122_1915220	S654	99
BSU37610	ywzC	222
BSU08640	yfhS	222
BSU_tRNA_85	trnSL-Arg1	
BSU02320	ybfP	885
BSU19640	yodL	315
BSU39670	iolJ	870
BSU12760	xkdW	327
BSU26540	yrkE	480
BSU16950	pbpX	1173
BSU32580	frlM	900
BSU24780	yqgY	243
BSU07190	yezD	165
new_132763_132881	S54	119
BSU03200	putB	909
BSU34410	yveG	285
BSU05950	ydiF	1926
new_2647725_2647872_c	S968	148
BSU19530	yodA	387
new_372801_375944	S125	3144
BSU34170	ganR	990
BSU40630	yybI	786
BSU06270	ydjO	207
BSU28810	abnA	939
BSU37460	rapF	1143
BSU15140	mraW	933
new_1731582_1731775	S593	194
BSU40240	yycS	411
BSU21530	yolB	354
BSU26140	yqbE	933
BSU18239	yngHB	219
BSU19260	yocM	474
BSU24060	lpdV	1371
BSU29500	gerW	453
BSU20680	yoqC	405
BSU37250	narI	669
BSU04620	acpS	363
BSU24550	gcvPB	1464
	nonA	219
BSU03210	putC	1545
new_1251175_1251272_c	S421	98
BSU01310	rplF	537
BSU08350	lipB	630
BSU03610	tcyA	804
BSU20850	yopL	123
BSU36590	clsA	1446
new_160675_160892	S64	218
new_2037369_2037470_c	S697	102
BSU18350	dacC	1473
BSU37720	bacC	765
BSU03550	ycxC	936
BSU17699	ynzK	354
new_2784919_2785000_c	S1032	82
BSU14900	ctaD	1866
BSU04750	ydcF	291
new_2679011_2679382	S979	372
BSU39029	yxiT/1	426
new_2741085_2741356_c	S1011	272
BSU09460	bcaP	1395
BSU31450	kinB	1287
BSU09000	yhbJ	663
BSU32770	yusE	318
new_2283652_2283755_c	S816	104
BSU28340	ysnF	858
BSU12120	yjfB	165
BSU19690	kamA	1413
new_2637203_2637542_c	S962	340
BSU07060	yesX	1836
new_2111720_2111836_c	S747	117
BSU33750	sdpA	474
BSU18210	yngE	1785
BSU30530	ytnA	1389
BSU37910	spsA	768
BSU19270	yozN	261
BSU23090	rsiX	1104
BSU20990	yonU	186
new_4010329_4010403	S1505	75
BSU17770	yndF	1212
BSU15310	spoIIGA	927
new_3816846_3817724_c	S1445	879
BSU10870	yisU	660
BSU10370	yhfU	558
new_1319640_1320569_c	S454	930
BSU04839	ydzL	258
BSU37860	spsF	717
BSU25250	ccpN	636
new_4007659_4007722_c	S1504	64
BSU34340	epsD	1143
BSU30800	menB	813
BSU24170	mmgA	1179
BSU08029	yfzA	264
BSU06840	yeeI	717
BSU02250	ybfJ	396
BSU29200	accA	975
new_1297643_1300149_c	S449	2507
new_2544915_2544994	S921	80
BSU24590	yqhG	792
BSU14500	ykqA	831
BSU22030	dynA	3579
new_3193548_3194425_c	S1187	878
new_4020908_4020976_c	S1509	69
BSU33570	yvaE	357
BSU22570	ypiF	444
BSU27720	queA	1026
BSU_tRNA_30	trnD-Ser	
BSU28010	mreD	516
BSU22820	yphE	201
BSU28099	yszA	189
BSU_misc_RNA_26	BSU_misc_RNA_26	
BSU02670	lmrB	1437
BSU_tRNA_24	trnI-Thr	
BSU40210	yydC	396
BSU00500	gcaD	1368
BSU13210	thiX	762
BSU14550	ykrA	771
BSU39550	yxeH	810
BSU31830	yueE	528
new_1900570_1900855_c	S641	286
new_560621_561166	S181	546
BSU41030	jag	624
BSU11170	yitY	1428
BSU38910	yxjL	654
BSU13180	metE	2286
BSU15770	prkC	1944
BSU36210	ywqH	420
BSU21670	ypqP	606
BSU03788	yczM	87
new_2611388_2611455_c	S958	68
BSU03770	rapC	1146
BSU04170	ydaB	1395
BSU11839	yjzE	252
BSU20590	yoqL	690
new_630028_630114	S203	87
BSU38730	cydD	1725
new_1473128_1473196_c	S508	69
new_428689_428793	S129	105
BSU25630	yqeK	558
BSU17600	xylA	1335
BSU16640	ylxP	276
BSU16870	ymfI	726
new_2642036_2642116	S964	81
BSU26030	yqbO	4755
new_2273515_2273748	bsrG	234
new_37639_37719	S22	81
BSU05150	ydeC	873
BSU15870	recG	2046
BSU00820	lysS	1497
BSU24600	sinI	171
BSU19320	sqhC	1896
BSU25760	sigKN	468
BSU29490	tpx	501
BSU22810	yphF	732
new_952948_953024	S306	77
new_1105569_1105635_c	S363	67
BSU28530	etfB	771
new_3129078_3129194_c	S1167	117
BSU11400	appC	909
BSU14050	ykuE	861
new_1591418_1591539	S559	122
BSU17690	yncM	750
BSU13510	ykzE	174
BSU21320	yomL	684
BSU09880	yhaR	765
new_3675995_3676059_c	S1371	65
BSU15990	rpsP	270
BSU13350	ykoN	1119
BSU12430	rapA	1134
new_1451263_1451370	S502	108
BSU12510	xre	339
BSU20800	yopQ	1380
BSU08660	sspE	252
BSU40170	yydG	957
BSU17070	ymcC	555
BSU21470	sunT	2115
BSU24030	bkdB	1272
BSU31760	pncA	549
BSU37880	spsD	867
BSU36280	ywqA	2766
BSU21070	yonJ	1215
new_818856_819310_c	S252	455
new_3354935_3355044_c	S1256	110
new_4051522_4051601_c	S1518	80
BSU37600	ywfO	1299
new_79027_79091	S40	65
BSU32380	yunE	819
BSU39280	yxxE	306
BSU40270	yycP	1161
new_1930742_1930833	S670	92
BSU39680	iolI	834
BSU11000	yitI	462
BSU30620	ytlD	810
BSU12580	xtmB	1299
BSU05300	ydeQ	591
BSU17930	ccdA	705
BSU28180	ysxD	561
BSU08470	yfhB	879
BSU12780	xepA	837
BSU18040	yneP	363
BSU20320	yorN	147
BSU21610	yokF	888
new_1094366_1094987_c	S359	622
BSU02260	ybfK	888
BSU09760	yheE	216
new_3123442_3124021_c	S1163	580
new_467042_467129	S138	88
BSU02050	ybdO	1182
new_696054_696194	S228	141
new_929322_929389	S292	68
BSU00480	yabJ	375
BSU34729	yvzJ	207
new_1255943_1256078	S427	136
new_1018497_1020028_c	S327	1532
BSU04340	ydaP	1722
BSU08210	yfiB	1719
BSU18190	yngC	594
BSU05880	gmuG	1086
new_1447578_1447661_c	S500	84
BSU05470	ydfM	891
BSU03620	bsdA	870
BSU04290	ydaL	1707
BSU38870	yxkA	504
BSU14920	ctaF	330
BSU09750	sspB	201
BSU32240	thrB	927
BSU35780	lytD	2640
BSU04220	ydaG	420
new_2053985_2054612	S708	628
BSU23940	yqjB	528
BSU38330	ywbG	723
BSU03580	yczE	645
BSU31190	rhaM	312
new_2600050_2600154	S950	105
new_546051_546165_c	S173	115
BSU39530	yxeJ	225
BSU01120	fusA	2076
BSU01800	alkA	909
BSU28220	clpX	1260
BSU26060	yqbM	441
new_2225616_2225829	S799	214
BSU29960	ytlP	549
BSU33790	sdpR	270
BSU02790	ycdB	1416
BSU08490	yfhD	189
BSU13900	ptsH	264
new_2989552_2990726	S1105	1175
BSU27930	spo0B	576
BSU10530	ntdC	1050
new_2664732_2666054	S975	1323
BSU11140	yitU	810
new_3622048_3622137_c	S1345	90
BSU06440	purB	1293
BSU36050	cotB	1140
new_204891_204975	S71	85
BSU02390	ybgE	1068
BSU11610	nadF	798
new_2305036_2305183_c	S824	148
new_49987_50086	S27	100
BSU36810	atpD	1419
BSU16160	clpY	1401
new_1655586_1655958	S574	373
BSU23250	ribH	462
BSU26050	txpA	177
new_3213329_3216149	S1191	2821
BSU34430	racX	681
new_210947_211412	S75	466
BSU16710	mlpA	1227
BSU15830	yloU	360
new_579354_579540	S186	187
BSU11620	yjbO	849
BSU28990	dnaB	1416
BSU06640	yerI	1008
new_785976_786536_c	S249	561
BSU00880	disA	1080
BSU21650	yokB	708
new_3989098_3989183	S1492	86
BSU28720	abfA	1500
